City, Zip_code, Safety_classifier, Accidents_per_1000_veh, Injuries_per_1000_accidents, Deaths_per_1000_accidents, Vehicles_involved_per_accident, Total_num_accidents, Total_num_of_accident_veh, Top_factor_1, Top_factor_2, Top_factor_3, Top_factor_4, Top_factor_5, Top_vehicle_type_1, Top_vehicle_type_2, Top_vehicle_type_3, Top_vehicle_type_4, Top_vehicle_type_5, Top_street_complaint_1, Top_street_complaint_2, Top_street_complaint_3, Top_complaint_desc_1, Top_complaint_desc_2, Top_complaint_desc_3, Top_complaint_desc_4, Top_complaint_desc_5, Num_street_complaints
NEW YORK,10018,Ok,0.21,123.4,0.44,1.96,2269,4437,Turning Improperly: 163: 3.67%,Driver Inattention/Distraction: 154: 3.47%,Lost Consciousness: 143: 3.22%,Fatigued/Drowsy: 137: 3.09%,Prescription Medication: 118: 2.66%,PASSENGER VEHICLE: 1473: 33.2%,SPORT UTILITY / STATION WAGON: 760: 17.13%,TAXI: 584: 13.16%,VAN: 322: 7.26%,OTHER: 322: 7.26%,STREET CONDITION: 434: 89.48%,STREET SIGN - DAMAGED: 26: 5.36%,STREET SIGN - DANGLING: 11: 2.27%,Pothole: 229: 47.22%,Cave-in: 42: 8.66%,Crash Cushion Defect: 40: 8.25%,Defective Hardware: 33: 6.8%,No Parking  Standing  Stopping: 32: 6.6%,485
BRONX,10466,Hazardous,0.43,251.64,3.59,2.01,1673,3361,Failure to Yield Right-of-Way: 51: 1.52%,Driver Inexperience: 40: 1.19%,Backing Unsafely: 29: 0.86%,Driver Inattention/Distraction: 28: 0.83%,Prescription Medication: 11: 0.33%,PASSENGER VEHICLE: 1903: 56.62%,SPORT UTILITY / STATION WAGON: 596: 17.73%,OTHER: 131: 3.9%,VAN: 69: 2.05%,LARGE COM VEH(6 OR MORE TIRES): 34: 1.01%,STREET CONDITION: 772: 53.35%,STREET LIGHT CONDITION: 599: 41.4%,STREET SIGN - MISSING: 33: 2.28%,Street Light Out: 549: 37.94%,Pothole: 475: 32.83%,Cave-in: 102: 7.05%,Failed Street Repair: 68: 4.7%,Rough  Pitted or Cracked Roads: 49: 3.39%,1447
BRONX,10467,Hazardous,0.56,283.19,1.33,1.96,2260,4431,Driver Inattention/Distraction: 291: 6.57%,Failure to Yield Right-of-Way: 99: 2.23%,Fatigued/Drowsy: 67: 1.51%,Backing Unsafely: 57: 1.29%,Prescription Medication: 55: 1.24%,PASSENGER VEHICLE: 2809: 63.39%,SPORT UTILITY / STATION WAGON: 647: 14.6%,TAXI: 89: 2.01%,VAN: 82: 1.85%,OTHER: 79: 1.78%,STREET LIGHT CONDITION: 715: 46.04%,STREET CONDITION: 635: 40.89%,STREET SIGN - DAMAGED: 90: 5.8%,Street Light Out: 617: 39.73%,Pothole: 386: 24.86%,Cave-in: 66: 4.25%,St Name - Attached to Pole: 63: 4.06%,Failed Street Repair: 61: 3.93%,1553
NEW YORK,10013,Ok,0.13,136.2,0.7,1.96,2856,5606,Driver Inattention/Distraction: 818: 14.59%,Fatigued/Drowsy: 185: 3.3%,Turning Improperly: 172: 3.07%,Lost Consciousness: 157: 2.8%,Failure to Yield Right-of-Way: 123: 2.19%,PASSENGER VEHICLE: 2226: 39.71%,SPORT UTILITY / STATION WAGON: 1081: 19.28%,TAXI: 517: 9.22%,VAN: 343: 6.12%,SMALL COM VEH(4 TIRES): 293: 5.23%,STREET CONDITION: 847: 58.7%,STREET LIGHT CONDITION: 483: 33.47%,STREET SIGN - MISSING: 59: 4.09%,Pothole: 405: 28.07%,Street Light Out: 374: 25.92%,Cave-in: 89: 6.17%,Blocked - Construction: 80: 5.54%,Defective Hardware: 63: 4.37%,1443
FLORAL PARK,11001,Safe,0.01,247.31,0,2.09,93,194,Failure to Yield Right-of-Way: 5: 2.58%,Fatigued/Drowsy: 5: 2.58%,Backing Unsafely: 3: 1.55%,View Obstructed/Limited: 3: 1.55%,Physical Disability: 3: 1.55%,PASSENGER VEHICLE: 133: 68.56%,SPORT UTILITY / STATION WAGON: 47: 24.23%,VAN: 2: 1.03%,BICYCLE: 1: 0.52%,PICK-UP TRUCK: 1: 0.52%,STREET LIGHT CONDITION: 73: 64.04%,STREET CONDITION: 33: 28.95%,STREET SIGN - DAMAGED: 4: 3.51%,Street Light Out: 54: 47.37%,Pothole: 22: 19.3%,Street Light Cycling: 6: 5.26%,Lamppost Base Door/Cover Open: 6: 5.26%,Defective Hardware: 6: 5.26%,114
BRONX,10465,Ok,0.05,301.32,0,2,833,1667,Driver Inattention/Distraction: 56: 3.36%,Failure to Yield Right-of-Way: 38: 2.28%,Backing Unsafely: 33: 1.98%,Prescription Medication: 22: 1.32%,Fatigued/Drowsy: 18: 1.08%,PASSENGER VEHICLE: 1095: 65.69%,SPORT UTILITY / STATION WAGON: 240: 14.4%,VAN: 29: 1.74%,OTHER: 29: 1.74%,LARGE COM VEH(6 OR MORE TIRES): 27: 1.62%,STREET LIGHT CONDITION: 1370: 60.22%,STREET CONDITION: 754: 33.14%,STREET SIGN - MISSING: 82: 3.6%,Street Light Out: 1221: 53.67%,Pothole: 379: 16.66%,Failed Street Repair: 90: 3.96%,Rough  Pitted or Cracked Roads: 80: 3.52%,Cave-in: 78: 3.43%,2275
NEW YORK,10012,Ok,0.13,186.52,0.6,1.94,1662,3219,Driver Inattention/Distraction: 521: 16.19%,Fatigued/Drowsy: 120: 3.73%,Lost Consciousness: 86: 2.67%,Turning Improperly: 84: 2.61%,Failure to Yield Right-of-Way: 78: 2.42%,PASSENGER VEHICLE: 1220: 37.9%,TAXI: 597: 18.55%,SPORT UTILITY / STATION WAGON: 429: 13.33%,VAN: 175: 5.44%,LARGE COM VEH(6 OR MORE TIRES): 120: 3.73%,STREET CONDITION: 447: 63.05%,STREET LIGHT CONDITION: 203: 28.63%,STREET SIGN - MISSING: 30: 4.23%,Pothole: 195: 27.5%,Street Light Out: 140: 19.75%,Cave-in: 66: 9.31%,Plate Condition - Noisy: 44: 6.21%,Defective Hardware: 38: 5.36%,709
BRONX,10462,Ok,0.15,266.33,0.73,1.99,1378,2744,Driver Inattention/Distraction: 113: 4.12%,Failure to Yield Right-of-Way: 41: 1.49%,Other Vehicular: 37: 1.35%,Backing Unsafely: 34: 1.24%,Prescription Medication: 25: 0.91%,PASSENGER VEHICLE: 1614: 58.82%,SPORT UTILITY / STATION WAGON: 452: 16.47%,TAXI: 66: 2.41%,VAN: 64: 2.33%,OTHER: 52: 1.9%,STREET LIGHT CONDITION: 1181: 59.26%,STREET CONDITION: 628: 31.51%,STREET SIGN - MISSING: 84: 4.21%,Street Light Out: 1005: 50.43%,Pothole: 309: 15.5%,Failed Street Repair: 107: 5.37%,Street Light Cycling: 86: 4.32%,St Name - Attached to Pole: 75: 3.76%,1993
SOUTH OZONE PARK,11420,Ok,0.12,360.58,0,2.06,1248,2572,Driver Inattention/Distraction: 174: 6.77%,Failure to Yield Right-of-Way: 96: 3.73%,Fatigued/Drowsy: 41: 1.59%,Physical Disability: 25: 0.97%,Alcohol Involvement: 24: 0.93%,PASSENGER VEHICLE: 1493: 58.05%,SPORT UTILITY / STATION WAGON: 601: 23.37%,VAN: 72: 2.8%,OTHER: 56: 2.18%,PICK-UP TRUCK: 31: 1.21%,STREET LIGHT CONDITION: 938: 48.75%,STREET CONDITION: 879: 45.69%,STREET SIGN - DAMAGED: 48: 2.49%,Street Light Out: 706: 36.69%,Pothole: 522: 27.13%,Cave-in: 126: 6.55%,Street Light Cycling: 71: 3.69%,Wear & Tear: 68: 3.53%,1924
NEW YORK,10011,Ok,0.13,156.95,0.46,1.96,2179,4262,Driver Inattention/Distraction: 206: 4.83%,Fatigued/Drowsy: 171: 4.01%,Lost Consciousness: 142: 3.33%,Turning Improperly: 127: 2.98%,Failure to Yield Right-of-Way: 101: 2.37%,PASSENGER VEHICLE: 1348: 31.63%,SPORT UTILITY / STATION WAGON: 839: 19.69%,TAXI: 791: 18.56%,VAN: 243: 5.7%,OTHER: 237: 5.56%,STREET CONDITION: 984: 90.36%,STREET LIGHT CONDITION: 55: 5.05%,STREET SIGN - DAMAGED: 27: 2.48%,Pothole: 380: 34.89%,Defective Hardware: 146: 13.41%,Cave-in: 118: 10.84%,Plate Condition - Noisy: 116: 10.65%,Blocked - Construction: 57: 5.23%,1089
BRONX,10463,Ok,0.05,221.84,0.86,1.97,1163,2291,Driver Inattention/Distraction: 142: 6.2%,Other Vehicular: 79: 3.45%,Backing Unsafely: 52: 2.27%,Failure to Yield Right-of-Way: 48: 2.1%,Fatigued/Drowsy: 43: 1.88%,PASSENGER VEHICLE: 1386: 60.5%,SPORT UTILITY / STATION WAGON: 395: 17.24%,OTHER: 53: 2.31%,BUS: 40: 1.75%,VAN: 37: 1.62%,STREET CONDITION: 1060: 62.1%,STREET LIGHT CONDITION: 519: 30.4%,STREET SIGN - DAMAGED: 56: 3.28%,Pothole: 578: 33.86%,Street Light Out: 431: 25.25%,Rough  Pitted or Cracked Roads: 101: 5.92%,Failed Street Repair: 91: 5.33%,Defective Hardware: 86: 5.04%,1707
HOLLIS,11423,Ok,0.06,344.26,0,2.01,793,1597,Driver Inattention/Distraction: 211: 13.21%,Other Vehicular: 70: 4.38%,Failure to Yield Right-of-Way: 63: 3.94%,Fatigued/Drowsy: 53: 3.32%,Driver Inexperience: 25: 1.57%,PASSENGER VEHICLE: 963: 60.3%,SPORT UTILITY / STATION WAGON: 343: 21.48%,VAN: 51: 3.19%,OTHER: 22: 1.38%,LARGE COM VEH(6 OR MORE TIRES): 20: 1.25%,STREET CONDITION: 693: 49.57%,STREET LIGHT CONDITION: 628: 44.92%,STREET SIGN - DAMAGED: 34: 2.43%,Street Light Out: 457: 32.69%,Pothole: 451: 32.26%,Rough  Pitted or Cracked Roads: 53: 3.79%,Street Light Cycling: 51: 3.65%,Failed Street Repair: 48: 3.43%,1398
NEW YORK,10010,Ok,0.03,258.95,1.28,1.91,1564,2988,Driver Inattention/Distraction: 144: 4.82%,Failure to Yield Right-of-Way: 51: 1.71%,Fatigued/Drowsy: 43: 1.44%,Backing Unsafely: 29: 0.97%,Lost Consciousness: 29: 0.97%,PASSENGER VEHICLE: 864: 28.92%,TAXI: 778: 26.04%,SPORT UTILITY / STATION WAGON: 429: 14.36%,SMALL COM VEH(4 TIRES): 148: 4.95%,VAN: 138: 4.62%,STREET CONDITION: 485: 88.83%,STREET SIGN - DAMAGED: 28: 5.13%,STREET SIGN - DANGLING: 15: 2.75%,Pothole: 166: 30.4%,Plate Condition - Noisy: 84: 15.38%,Defective Hardware: 64: 11.72%,Cave-in: 45: 8.24%,Rough  Pitted or Cracked Roads: 34: 6.23%,546
BRONX,10460,Ok,0.07,342.11,2.13,1.95,1406,2738,Driver Inattention/Distraction: 111: 4.05%,Failure to Yield Right-of-Way: 63: 2.3%,Other Vehicular: 49: 1.79%,Fatigued/Drowsy: 41: 1.5%,Backing Unsafely: 39: 1.42%,PASSENGER VEHICLE: 1381: 50.44%,SPORT UTILITY / STATION WAGON: 535: 19.54%,VAN: 102: 3.73%,TAXI: 79: 2.89%,BUS: 73: 2.67%,STREET CONDITION: 447: 49.01%,STREET LIGHT CONDITION: 433: 47.48%,STREET SIGN - DAMAGED: 17: 1.86%,Street Light Out: 380: 41.67%,Pothole: 286: 31.36%,Failed Street Repair: 49: 5.37%,Cave-in: 40: 4.39%,Defective Hardware: 35: 3.84%,912
ROSEDALE,11422,Ok,0.02,329.73,3.86,2.04,1295,2639,Driver Inattention/Distraction: 108: 4.09%,Failure to Yield Right-of-Way: 88: 3.33%,Fatigued/Drowsy: 79: 2.99%,Turning Improperly: 25: 0.95%,Other Vehicular: 24: 0.91%,PASSENGER VEHICLE: 1644: 62.3%,SPORT UTILITY / STATION WAGON: 632: 23.95%,OTHER: 45: 1.71%,VAN: 41: 1.55%,PICK-UP TRUCK: 22: 0.83%,STREET LIGHT CONDITION: 691: 51.3%,STREET CONDITION: 583: 43.28%,STREET SIGN - DAMAGED: 37: 2.75%,Street Light Out: 559: 41.5%,Pothole: 351: 26.06%,Rough  Pitted or Cracked Roads: 67: 4.97%,Failed Street Repair: 45: 3.34%,Fixture/Luminaire Door Open: 44: 3.27%,1347
NEW YORK,10017,Ok,0.05,155.58,0.46,1.94,2179,4233,Driver Inattention/Distraction: 353: 8.34%,Turning Improperly: 117: 2.76%,Fatigued/Drowsy: 110: 2.6%,Lost Consciousness: 77: 1.82%,Other Vehicular: 63: 1.49%,PASSENGER VEHICLE: 1448: 34.21%,TAXI: 917: 21.66%,SPORT UTILITY / STATION WAGON: 621: 14.67%,VAN: 279: 6.59%,BUS: 162: 3.83%,STREET CONDITION: 463: 88.19%,STREET SIGN - DAMAGED: 29: 5.52%,STREET SIGN - MISSING: 12: 2.29%,Pothole: 242: 46.1%,Defective Hardware: 70: 13.33%,Cave-in: 41: 7.81%,No Parking  Standing  Stopping: 25: 4.76%,Failed Street Repair: 24: 4.57%,525
BRONX,10461,Hazardous,0.41,301.22,2.04,1.96,1474,2895,Driver Inattention/Distraction: 105: 3.63%,Failure to Yield Right-of-Way: 62: 2.14%,Other Vehicular: 39: 1.35%,Fatigued/Drowsy: 38: 1.31%,Backing Unsafely: 29: 1.0%,PASSENGER VEHICLE: 1832: 63.28%,SPORT UTILITY / STATION WAGON: 487: 16.82%,VAN: 55: 1.9%,LARGE COM VEH(6 OR MORE TIRES): 46: 1.59%,OTHER: 39: 1.35%,STREET LIGHT CONDITION: 1168: 48.83%,STREET CONDITION: 1044: 43.65%,STREET SIGN - MISSING: 93: 3.89%,Street Light Out: 1025: 42.85%,Pothole: 468: 19.57%,Rough  Pitted or Cracked Roads: 280: 11.71%,Cave-in: 109: 4.56%,Failed Street Repair: 84: 3.51%,2392
NEW YORK,10016,Ok,0.15,186.9,0.58,1.95,3419,6658,Driver Inattention/Distraction: 293: 4.4%,Fatigued/Drowsy: 110: 1.65%,Turning Improperly: 104: 1.56%,Failure to Yield Right-of-Way: 79: 1.19%,Lost Consciousness: 69: 1.04%,PASSENGER VEHICLE: 2417: 36.3%,TAXI: 1330: 19.98%,SPORT UTILITY / STATION WAGON: 989: 14.85%,VAN: 325: 4.88%,SMALL COM VEH(4 TIRES): 263: 3.95%,STREET CONDITION: 1045: 93.05%,STREET SIGN - DAMAGED: 28: 2.49%,STREET SIGN - MISSING: 22: 1.96%,Pothole: 393: 35.0%,Defective Hardware: 219: 19.5%,Plate Condition - Noisy: 122: 10.86%,Cave-in: 114: 10.15%,Failed Street Repair: 51: 4.54%,1123
QUEENS VILLAGE,11427,Ok,0.11,320.4,1.69,2.01,593,1194,Driver Inattention/Distraction: 58: 4.86%,Failure to Yield Right-of-Way: 50: 4.19%,Other Vehicular: 20: 1.68%,Fatigued/Drowsy: 17: 1.42%,Driver Inexperience: 16: 1.34%,PASSENGER VEHICLE: 725: 60.72%,SPORT UTILITY / STATION WAGON: 271: 22.7%,VAN: 23: 1.93%,OTHER: 21: 1.76%,BUS: 19: 1.59%,STREET LIGHT CONDITION: 559: 49.64%,STREET CONDITION: 512: 45.47%,STREET SIGN - DAMAGED: 31: 2.75%,Street Light Out: 442: 39.25%,Pothole: 330: 29.31%,Street Light Cycling: 37: 3.29%,Rough  Pitted or Cracked Roads: 36: 3.2%,Cave-in: 33: 2.93%,1126
NEW YORK,10014,Safe,0.07,139.91,0,1.96,1358,2665,Driver Inattention/Distraction: 169: 6.34%,Fatigued/Drowsy: 107: 4.02%,Failure to Yield Right-of-Way: 67: 2.51%,Lost Consciousness: 64: 2.4%,Turning Improperly: 55: 2.06%,PASSENGER VEHICLE: 1157: 43.41%,TAXI: 522: 19.59%,SPORT UTILITY / STATION WAGON: 282: 10.58%,VAN: 139: 5.22%,LARGE COM VEH(6 OR MORE TIRES): 84: 3.15%,STREET CONDITION: 974: 69.82%,STREET LIGHT CONDITION: 353: 25.3%,STREET SIGN - MISSING: 30: 2.15%,Pothole: 310: 22.22%,Street Light Out: 284: 20.36%,Defective Hardware: 238: 17.06%,Plate Condition - Noisy: 133: 9.53%,Cave-in: 82: 5.88%,1395
BELLEROSE,11426,Ok,0.12,270.51,2.22,2.03,451,914,Driver Inattention/Distraction: 39: 4.27%,Failure to Yield Right-of-Way: 37: 4.05%,Fatigued/Drowsy: 11: 1.2%,Physical Disability: 10: 1.09%,Backing Unsafely: 9: 0.98%,PASSENGER VEHICLE: 562: 61.49%,SPORT UTILITY / STATION WAGON: 219: 23.96%,VAN: 15: 1.64%,OTHER: 13: 1.42%,PICK-UP TRUCK: 8: 0.88%,STREET LIGHT CONDITION: 464: 57.35%,STREET CONDITION: 295: 36.46%,STREET SIGN - DAMAGED: 26: 3.21%,Street Light Out: 354: 43.76%,Pothole: 166: 20.52%,Stop: 33: 4.08%,Defective Hardware: 32: 3.96%,Street Light Cycling: 28: 3.46%,809
BRONX,10468,Hazardous,0.86,341.05,3.13,1.93,1598,3088,Driver Inattention/Distraction: 286: 9.26%,Failure to Yield Right-of-Way: 82: 2.66%,Fatigued/Drowsy: 66: 2.14%,Prescription Medication: 54: 1.75%,Other Vehicular: 54: 1.75%,PASSENGER VEHICLE: 1940: 62.82%,SPORT UTILITY / STATION WAGON: 466: 15.09%,TAXI: 98: 3.17%,VAN: 80: 2.59%,BUS: 48: 1.55%,STREET CONDITION: 617: 61.58%,STREET LIGHT CONDITION: 352: 35.13%,STREET SIGN - MISSING: 18: 1.8%,Pothole: 403: 40.22%,Street Light Out: 295: 29.44%,Failed Street Repair: 71: 7.09%,Defective Hardware: 33: 3.29%,Cave-in: 31: 3.09%,1002
BRONX,10469,Ok,0.1,357.84,1.95,1.99,1537,3059,Driver Inattention/Distraction: 38: 1.24%,Failure to Yield Right-of-Way: 32: 1.05%,Driver Inexperience: 28: 0.92%,Backing Unsafely: 18: 0.59%,Prescription Medication: 12: 0.39%,PASSENGER VEHICLE: 1844: 60.28%,SPORT UTILITY / STATION WAGON: 507: 16.57%,OTHER: 71: 2.32%,VAN: 50: 1.63%,TAXI: 27: 0.88%,STREET LIGHT CONDITION: 1777: 63.49%,STREET CONDITION: 848: 30.3%,STREET SIGN - MISSING: 72: 2.57%,Street Light Out: 1678: 59.95%,Pothole: 516: 18.44%,Cave-in: 110: 3.93%,St Name - Attached to Pole: 91: 3.25%,Failed Street Repair: 86: 3.07%,2799
FLUSHING,11358,Ok,0.12,217.23,0.94,2.02,1068,2154,Failure to Yield Right-of-Way: 120: 5.57%,Driver Inattention/Distraction: 103: 4.78%,Fatigued/Drowsy: 45: 2.09%,Backing Unsafely: 31: 1.44%,Physical Disability: 21: 0.97%,PASSENGER VEHICLE: 1387: 64.39%,SPORT UTILITY / STATION WAGON: 498: 23.12%,OTHER: 46: 2.14%,VAN: 30: 1.39%,BUS: 17: 0.79%,STREET LIGHT CONDITION: 926: 54.31%,STREET CONDITION: 625: 36.66%,STREET SIGN - MISSING: 65: 3.81%,Street Light Out: 776: 45.51%,Pothole: 299: 17.54%,Cave-in: 96: 5.63%,Defective Hardware: 68: 3.99%,St Name - Attached to Pole: 56: 3.28%,1705
WHITESTONE,11357,Ok,0.11,250.77,0,2.08,646,1341,Driver Inattention/Distraction: 49: 3.65%,Failure to Yield Right-of-Way: 29: 2.16%,Prescription Medication: 12: 0.89%,Fatigued/Drowsy: 11: 0.82%,Physical Disability: 9: 0.67%,PASSENGER VEHICLE: 894: 66.67%,SPORT UTILITY / STATION WAGON: 257: 19.16%,OTHER: 38: 2.83%,VAN: 16: 1.19%,SMALL COM VEH(4 TIRES): 15: 1.12%,STREET CONDITION: 944: 46.34%,STREET LIGHT CONDITION: 922: 45.26%,STREET SIGN - DAMAGED: 80: 3.93%,Street Light Out: 791: 38.83%,Pothole: 482: 23.66%,Cave-in: 131: 6.43%,Defective Hardware: 84: 4.12%,Rough  Pitted or Cracked Roads: 84: 4.12%,2037
FLUSHING,11355,Hazardous,0.5,219,2.15,1.95,1863,3628,Driver Inattention/Distraction: 129: 3.56%,Failure to Yield Right-of-Way: 87: 2.4%,Fatigued/Drowsy: 49: 1.35%,Backing Unsafely: 49: 1.35%,Lost Consciousness: 38: 1.05%,PASSENGER VEHICLE: 2417: 66.62%,SPORT UTILITY / STATION WAGON: 706: 19.46%,VAN: 73: 2.01%,OTHER: 72: 1.98%,BUS: 41: 1.13%,STREET LIGHT CONDITION: 944: 49.01%,STREET CONDITION: 829: 43.04%,STREET SIGN - DAMAGED: 73: 3.79%,Street Light Out: 757: 39.3%,Pothole: 482: 25.03%,Defective Hardware: 75: 3.89%,Cave-in: 71: 3.69%,St Name - Attached to Pole: 51: 2.65%,1926
FLUSHING,11354,Hazardous,0.85,206.44,0.99,1.96,2020,3969,Driver Inattention/Distraction: 141: 3.55%,Failure to Yield Right-of-Way: 92: 2.32%,Fatigued/Drowsy: 54: 1.36%,Backing Unsafely: 47: 1.18%,Prescription Medication: 28: 0.71%,PASSENGER VEHICLE: 2653: 66.84%,SPORT UTILITY / STATION WAGON: 688: 17.33%,OTHER: 94: 2.37%,VAN: 77: 1.94%,LARGE COM VEH(6 OR MORE TIRES): 58: 1.46%,STREET CONDITION: 1087: 48.4%,STREET LIGHT CONDITION: 971: 43.23%,STREET SIGN - DAMAGED: 94: 4.19%,Street Light Out: 787: 35.04%,Pothole: 667: 29.7%,Rough  Pitted or Cracked Roads: 101: 4.5%,Defective Hardware: 76: 3.38%,Cave-in: 67: 2.98%,2246
BROOKLYN,11212,Ok,0.19,433.95,2.27,1.95,2203,4301,Driver Inattention/Distraction: 165: 3.84%,Failure to Yield Right-of-Way: 95: 2.21%,Fatigued/Drowsy: 45: 1.05%,Backing Unsafely: 42: 0.98%,Prescription Medication: 38: 0.88%,PASSENGER VEHICLE: 2687: 62.47%,SPORT UTILITY / STATION WAGON: 868: 20.18%,OTHER: 84: 1.95%,BICYCLE: 77: 1.79%,VAN: 74: 1.72%,STREET CONDITION: 988: 45.05%,STREET LIGHT CONDITION: 947: 43.18%,STREET SIGN - DAMAGED: 169: 7.71%,Street Light Out: 759: 34.61%,Pothole: 529: 24.12%,Cave-in: 159: 7.25%,Failed Street Repair: 135: 6.16%,Wear & Tear: 79: 3.6%,2193
BROOKLYN,11210,Ok,0.18,406.78,1.21,2.02,1652,3342,Driver Inattention/Distraction: 87: 2.6%,Failure to Yield Right-of-Way: 74: 2.21%,Fatigued/Drowsy: 43: 1.29%,Prescription Medication: 30: 0.9%,Physical Disability: 27: 0.81%,PASSENGER VEHICLE: 1841: 55.09%,SPORT UTILITY / STATION WAGON: 852: 25.49%,VAN: 118: 3.53%,BUS: 87: 2.6%,BICYCLE: 52: 1.56%,STREET CONDITION: 813: 52.18%,STREET LIGHT CONDITION: 409: 26.25%,STREET SIGN - DAMAGED: 263: 16.88%,Pothole: 430: 27.6%,Street Light Out: 337: 21.63%,Street Cleaning - ASP: 118: 7.57%,Cave-in: 108: 6.93%,Failed Street Repair: 81: 5.2%,1558
BROOKLYN,11211,Ok,0.2,317.31,2.02,1.97,1976,3887,Driver Inattention/Distraction: 181: 4.66%,Failure to Yield Right-of-Way: 177: 4.55%,Lost Consciousness: 129: 3.32%,Fatigued/Drowsy: 106: 2.73%,Backing Unsafely: 88: 2.26%,PASSENGER VEHICLE: 1489: 38.31%,SPORT UTILITY / STATION WAGON: 891: 22.92%,VAN: 211: 5.43%,LARGE COM VEH(6 OR MORE TIRES): 178: 4.58%,BICYCLE: 158: 4.06%,STREET CONDITION: 852: 37.42%,STREET LIGHT CONDITION: 680: 29.86%,STREET SIGN - DAMAGED: 648: 28.46%,Street Light Out: 463: 20.33%,Pothole: 405: 17.79%,Street Cleaning - ASP: 370: 16.25%,Stop: 168: 7.38%,Cave-in: 101: 4.44%,2277
BROOKLYN,11216,Ok,0.04,329.52,0.5,1.97,2012,3964,Driver Inattention/Distraction: 136: 3.43%,Fatigued/Drowsy: 58: 1.46%,Failure to Yield Right-of-Way: 45: 1.14%,Lost Consciousness: 38: 0.96%,Outside Car Distraction: 30: 0.76%,PASSENGER VEHICLE: 2120: 53.48%,SPORT UTILITY / STATION WAGON: 845: 21.32%,VAN: 157: 3.96%,BICYCLE: 124: 3.13%,BUS: 68: 1.72%,STREET LIGHT CONDITION: 849: 47.14%,STREET CONDITION: 814: 45.2%,STREET SIGN - DAMAGED: 106: 5.89%,Street Light Out: 677: 37.59%,Pothole: 327: 18.16%,Failed Street Repair: 128: 7.11%,Cave-in: 112: 6.22%,One Way: 55: 3.05%,1801
BROOKLYN,11217,Ok,0.13,227.41,1.47,1.97,2036,4002,Driver Inattention/Distraction: 212: 5.3%,Fatigued/Drowsy: 140: 3.5%,Lost Consciousness: 107: 2.67%,Turning Improperly: 87: 2.17%,Failure to Yield Right-of-Way: 72: 1.8%,PASSENGER VEHICLE: 2027: 50.65%,SPORT UTILITY / STATION WAGON: 726: 18.14%,VAN: 156: 3.9%,OTHER: 143: 3.57%,TAXI: 136: 3.4%,STREET CONDITION: 859: 44.79%,STREET LIGHT CONDITION: 853: 44.47%,STREET SIGN - DAMAGED: 120: 6.26%,Street Light Out: 647: 33.73%,Pothole: 306: 15.95%,Failed Street Repair: 117: 6.1%,Defective Hardware: 106: 5.53%,Cave-in: 85: 4.43%,1918
BROOKLYN,11214,Ok,0.2,261.12,1.17,1.97,1708,3371,Driver Inattention/Distraction: 212: 6.29%,Failure to Yield Right-of-Way: 98: 2.91%,Fatigued/Drowsy: 46: 1.36%,Backing Unsafely: 43: 1.28%,Physical Disability: 35: 1.04%,PASSENGER VEHICLE: 1814: 53.81%,SPORT UTILITY / STATION WAGON: 885: 26.25%,VAN: 84: 2.49%,OTHER: 75: 2.22%,BICYCLE: 53: 1.57%,STREET CONDITION: 1234: 47.33%,STREET LIGHT CONDITION: 1132: 43.42%,STREET SIGN - DAMAGED: 152: 5.83%,Street Light Out: 933: 35.79%,Pothole: 662: 25.39%,Cave-in: 153: 5.87%,Rough  Pitted or Cracked Roads: 126: 4.83%,Defective Hardware: 98: 3.76%,2607
BROOKLYN,11215,Ok,0.08,217.06,0,1.98,1958,3868,Driver Inattention/Distraction: 204: 5.27%,Failure to Yield Right-of-Way: 80: 2.07%,Fatigued/Drowsy: 52: 1.34%,Backing Unsafely: 47: 1.22%,Lost Consciousness: 44: 1.14%,PASSENGER VEHICLE: 2165: 55.97%,SPORT UTILITY / STATION WAGON: 551: 14.25%,VAN: 174: 4.5%,OTHER: 152: 3.93%,BICYCLE: 114: 2.95%,STREET LIGHT CONDITION: 1521: 48.95%,STREET CONDITION: 1349: 43.42%,STREET SIGN - DAMAGED: 135: 4.35%,Street Light Out: 1155: 37.17%,Pothole: 481: 15.48%,Failed Street Repair: 253: 8.14%,Cave-in: 202: 6.5%,Street Light Cycling: 104: 3.35%,3107
BROOKLYN,11218,Ok,0.09,340.21,0,1.99,1599,3189,Driver Inattention/Distraction: 182: 5.71%,Failure to Yield Right-of-Way: 87: 2.73%,Fatigued/Drowsy: 48: 1.51%,Backing Unsafely: 35: 1.1%,Traffic Control Disregarded: 29: 0.91%,PASSENGER VEHICLE: 1537: 48.2%,SPORT UTILITY / STATION WAGON: 893: 28.0%,VAN: 110: 3.45%,LARGE COM VEH(6 OR MORE TIRES): 74: 2.32%,BICYCLE: 66: 2.07%,STREET CONDITION: 916: 46.64%,STREET LIGHT CONDITION: 585: 29.79%,STREET SIGN - DAMAGED: 374: 19.04%,Street Light Out: 438: 22.3%,Pothole: 393: 20.01%,Street Cleaning - ASP: 254: 12.93%,Cave-in: 120: 6.11%,Failed Street Repair: 94: 4.79%,1964
